Name,Platform,Year,Genre,Global_Sales
Cars: Race-O-Rama,PS,1996,Shooter,0.47
Downhill Domination,N64,1998,Sports,0.47
NHL 15,3DS,2015,Role-Playing,0.47
Pirates of the Caribbean: Dead Man's Chest,2600,N/A,Fighting,0.47
World Series of Poker,PS3,2008,Shooter,0.47
Inazuma Eleven Go 2: Chrono Stone,X360,2008,Shooter,0.47
NHL 97,PS2,2002,Fighting,0.47
We Sing Encore,X360,2012,Fighting,0.47
Kong: The 8th Wonder of the World,PS2,2006,Action,0.47
MX vs. ATV: Alive,Wii,2009,Racing,0.47
Mega Man Star Force 3: Black Ace / Red Joker,DS,2006,Action,0.47
Crayola: Treasure Adventures,X360,2010,Role-Playing,0.47
Dance Dance Revolution: Mario Mix,SNES,1995,Puzzle,0.47
Metal Gear Solid: The Twin Snakes,PS,2000,Action,0.47
Imagine: Figure Skater (US sales),DS,2005,Platform,0.47
Mat Hoffman's Pro BMX 2,PS3,2014,Fighting,0.47
Metal Gear Solid: The Essential Collection,PS3,2013,Action,0.47
The Legend of Spyro: Dawn of the Dragon,PS,1995,Action,0.47
Iridion 3D,PS2,2001,Action,0.47
MX vs. ATV Untamed,PS3,2012,Action,0.47
Classic NES Series: Pac-Man,X360,2014,Sports,0.47
Destroy All Humans!,Wii,2010,Fighting,0.47
Dragon Ball Z: Collectible Card Game,Wii,2011,Role-Playing,0.47
Circus Atari,PS2,2000,Fighting,0.47
Country Dance 2,Wii,2008,Simulation,0.47
Razor Freestyle Scooter,WiiU,2014,Action,0.47
Crash of the Titans,Game BoyA,2002,Platform,0.47
F.E.A.R. 3,PS2,2006,Role-Playing,0.47
Disney's Kim Possible 3: Team Possible,PS2,2002,Racing,0.47
Rygar: The Legendary Adventure,X360,2007,Role-Playing,0.47
Syphon Filter: Logan's Shadow,PSV,2012,Action,0.47
Super Batter Up,PSV,2011,Sports,0.47
Kessen II,PC,2009,Strategy,0.47
Crayon Shin-Chan: Arashi o Yobu Enji,PSP,2007,Racing,0.47
Stuart Little 2,DS,2010,Action,0.47
Wolfenstein: The New Order,DS,2007,Platform,0.47
"Warhammer 40,000: Space Marine",PS3,2015,Action,0.47
Tak 2: The Staff of Dreams,PS2,2005,Racing,0.47
Art Academy: Lessons for Everyone,N64,1998,Platform,0.47
Sid Meier's Civilization Revolution,N64,1997,Racing,0.47
ATV Offroad Fury Pro,N64,1998,Role-Playing,0.47
Dora The Explorer: Dora Saves the Snow Princess,PS,1999,Misc,0.47
SingStar Amped,N64,1997,Shooter,0.47
Brothers In Arms: Earned in Blood,Wii,2009,Puzzle,0.47
Walk it Out!,PC,2010,Simulation,0.47
Transformers: Dark of the Moon - Autobots/Decepticons,X360,2005,Fighting,0.47
Dragon Ball Z: Sagas,2600,1987,Action,0.47
Scooby-Doo,X360,2011,Action,0.47
The Legend of Spyro: Dawn of the Dragon,Wii,2009,Platform,0.47
Hydro Thunder,PS2,2006,Sports,0.47
Brothers In Arms: D-Day,XB,2006,Racing,0.47
American Girl: Kit Mystery Challenge!,Wii,N/A,Sports,0.47
Mario & Sonic at the Rio 2016 Olympic Games,XOne,2015,Sports,0.47
NHL FaceOff '97,PC,2011,Sports,0.47
Deadpool,PS,1999,Misc,0.47
Brothers In Arms: Road to Hill 30,DS,2007,Action,0.47
Virtua Tennis 4,X360,2013,Sports,0.47
EA Sports UFC,SNES,1995,Misc,0.47
Gremlins,PS2,2005,Sports,0.47
The Mark of Kri,PC,2011,Simulation,0.47
Jampack Winter 2003 (RP-M),PS2,2009,Racing,0.47
Rugrats: Castle Capers,PS2,2003,Racing,0.47
Crash Nitro Kart,X360,2014,Sports,0.47
Star Wars The Clone Wars: Republic Heroes,Game BoyA,2006,Adventure,0.47
Farming Simulator 2015,PS2,2005,Misc,0.47
Bleach: The Blade of Fate,3DS,2012,Role-Playing,0.47
Madden NFL 12,PS,1996,Sports,0.47
LEGO Rock Band,Wii,2010,Misc,0.47
Mad Max (2015),Game BoyA,2005,Action,0.47
"Barbie: Jet, Set & Style!",PS3,2011,Racing,0.47
Jak and Daxter: The Lost Frontier,DS,2008,Action,0.47
Momotarou Dentetsu 11,DS,2007,Puzzle,0.47
Command & Conquer: Red Alert 3,PS2,2004,Fighting,0.47
Tomb Raider: Legend,GC,2005,Misc,0.47
Skylanders: SuperChargers,GC,2004,Action,0.47
The Golden Compass,DS,2007,Sports,0.47
Star Wars: Demolition,PS2,2002,Sports,0.46
Scooby-Doo! and the Spooky Swamp,PS2,2007,Adventure,0.46
Sword Art Online: Lost Song,DS,2008,Platform,0.46
Bloody Roar II,Game BoyA,2001,Shooter,0.46
Delta Force: Black Hawk Down,PS3,2007,Racing,0.46
Burnout Dominator,Game BoyA,2004,Puzzle,0.46
NBA Live 07,XB,2005,Shooter,0.46
Vin Diesel: Wheelman,Game BoyA,2002,Misc,0.46
Space Invaders,2600,N/A,Action,0.46
.hack//Outbreak Part 3,Wii,2011,Misc,0.46
Rayman Legends,PS,1999,Sports,0.46
Mother 1+2,Wii,2007,Action,0.46
Hyperdimension Neptunia,PS3,2011,Shooter,0.46
iCarly,Game BoyA,2005,Platform,0.46
Puzzle & Dragons Z + Super Mario Bros. Edition,PS2,2002,Action,0.46
Harry Potter and the Deathly Hallows - Part 1,PSP,2007,Shooter,0.46
Top Spin,SNES,1992,Sports,0.46
Disney Guilty Party,PS2,2001,Strategy,0.46
Warhawk,SNES,1993,Platform,0.46
Pirates of the Caribbean: At World's End,Game BoyA,2002,Platform,0.46
Red Faction: Armageddon,PC,2014,Shooter,0.46
DanceStar Party,PS3,2011,Shooter,0.46
Persona 4: Dancing All Night,Game BoyA,2004,Platform,0.46
Tales of Vesperia,3DS,2012,Action,0.46
Thief (2014),DS,2008,Strategy,0.46
Dynasty Warriors: Strikeforce,PSP,2006,Racing,0.46
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,DS,2008,Platform,0.46
Tales of Hearts,PS2,2007,Misc,0.46
Missile Command,PS2,2005,Shooter,0.46
Lego Batman 3: Beyond Gotham,Wii,2010,Sports,0.46
Barbie as The Island Princess,DS,2011,Action,0.46
Jikkyou Powerful Pro Yakyuu 3,PS2,2005,Fighting,0.46
The Walking Dead: Season One,Game BoyA,2001,Platform,0.46
Jikkyou Powerful Pro Yakyuu 12,PS3,2008,Platform,0.46
Enter the Matrix,PS,1999,Racing,0.46
Crash: Mind Over Mutant,PSP,2006,Shooter,0.46
NASCAR 2005: Chase for the Cup,DS,2008,Adventure,0.46
J-League Excite Stage '95,3DS,2016,Action,0.46
The New York Times Crosswords,PS,1996,Sports,0.46
Phantasy Star Online Episode I & II,X360,2013,Action,0.46
Moshi Monsters: Moshlings Theme Park,PS2,2005,Shooter,0.46
The Powerpuff Girls: Relish Rampage,PS3,2011,Sports,0.46
Resistance: Burning Skies,XOne,2014,Sports,0.46
NBA 2K13,2600,1983,Action,0.46
Dead or Alive: Dimensions,PS2,2002,Action,0.46
The Chronicles of Riddick: Escape from Butcher Bay,PS2,2003,Misc,0.46
Brain Challenge,Game BoyA,2001,Action,0.46
NFL Head Coach,Game BoyA,2003,Racing,0.46
Watch Dogs,PS3,2009,Action,0.46
Karaoke Revolution Presents American Idol Encore,PS3,2015,Simulation,0.46
Major League Baseball 2K11,DS,2006,Fighting,0.46
Enemy Territory: Quake Wars,Wii,2011,Sports,0.46
Ghostbusters,DS,2009,Misc,0.46
NCAA Gamebreaker 99,XOne,2015,Action,0.46
Area 51,DS,2011,Misc,0.46
World Stadium 2,PS2,2009,Platform,0.46
Sega Rally Revo,PS2,2002,Misc,0.46
NHL 2005,X360,2008,Strategy,0.46
TNA iMPACT!,PSP,2006,Action,0.46
Star Wars Jedi Knight: Jedi Academy,X360,2015,Action,0.46
Thrillville: Off the Rails,X360,2007,Action,0.46
Phoenix,PS,2000,Racing,0.46
Spider-Man: Shattered Dimensions,Wii,2010,Action,0.46
F.E.A.R. 3,PSV,2015,Role-Playing,0.46
My Fashion Studio,PS,1999,Fighting,0.46
Plants vs. Zombies: Garden Warfare 2,PS2,2005,Shooter,0.46
Rock Band Country Track Pack,PSP,2007,Racing,0.46
Pro Evolution Soccer 2016,X360,2006,Sports,0.46
Apocalypse,X360,2009,Racing,0.46
Transformers: Revenge of the Fallen (Wii & PS2 Version),SNES,1994,Shooter,0.46
PES 2009: Pro Evolution Soccer,PS2,2002,Role-Playing,0.46
Yu-Gi-Oh! Destiny Board Traveler,X360,2013,Platform,0.46
SingStar Queen,Game BoyA,2003,Role-Playing,0.46
Samurai Warriors 3,PS3,2010,Role-Playing,0.46
World Soccer Winning Eleven 5 Final Evolution,Wii,2009,Adventure,0.46
One Piece: Pirate Warriors 3,3DS,2015,Puzzle,0.46
Sphinx and the Cursed Mummy,X360,2010,Action,0.46
Fatal Fury 2,XB,2003,Sports,0.46
Rampage World Tour,Wii,2010,Misc,0.46
Pokemon Puzzle League,PS,1995,Simulation,0.46
Eternal Sonata,Wii,2007,Action,0.46
Dance Dance Revolution: Hottest Party 3,PS3,2011,Shooter,0.46
FIFA 15,PS3,2011,Misc,0.46
Petz: Catz 2,PSV,2015,Misc,0.46
Bee Movie Game,PS3,2009,Role-Playing,0.45
Tekken Advance,XOne,2014,Action,0.45
Shin Megami Tensei: Persona 3,PSP,2009,Action,0.45
Persona,Game BoyA,2005,Platform,0.45
Band Hero,PSV,2013,Role-Playing,0.45
Naruto Shippuden: Ultimate Ninja Storm Generations,PS,1999,Shooter,0.45
Hot Wheels: Stunt Track Challenge,3DS,2014,Action,0.45
Viking: Battle for Asgard,Wii,2007,Adventure,0.45
Maze Craze: A Game of Cops 'n Robbers,SNES,1996,Sports,0.45
Mobile Suit Gundam,PS4,2014,Adventure,0.45
Silent Hill: Homecoming,PS2,2005,Sports,0.45
SingStar Take That,GC,2003,Action,0.45
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Wii,2008,Platform,0.45
Final Fantasy Collection,XB,2004,Racing,0.45
Disney Sing It! High School Musical 3: Senior Year,SNES,1995,Sports,0.45
NBA Live 10,DS,2007,Puzzle,0.45
Samurai Warriors: Xtreme Legends,GC,2002,Role-Playing,0.45
Tony Hawk's Proving Ground,DS,2012,Misc,0.45
NHL FaceOff,PS2,2002,Action,0.45
WWE WrestleMania 21,PSV,2012,Shooter,0.45
Brunswick Pro Bowling,Wii,2012,Sports,0.45
Worms: Open Warfare 2,3DS,2011,Fighting,0.45
NBA Live 2005,XB,N/A,Shooter,0.45
Defender II,DS,2008,Misc,0.45
WWE Day of Reckoning,PS2,2006,Sports,0.45
Dragon Quest Heroes: Rocket Slime,PC,2014,Action,0.45
ATV Quad Power Racing 2,Wii,2008,Misc,0.45
Walt Disney World Quest: Magical Racing Tour,X360,2011,Sports,0.45
Sled Storm,X360,2008,Shooter,0.45
Vandal Hearts,2600,1985,Puzzle,0.45
Mario Tennis Ultra Smash,PS,1998,Sports,0.45
Celebrity Sports Showdown,PS2,2005,Shooter,0.45
Jawbreaker,PS,1998,Sports,0.45
Scooby-Doo! Mystery Mayhem,X360,2007,Racing,0.45
Mario Golf: Advance Tour,PS2,2004,Sports,0.45
Crash: Mind Over Mutant,X360,2008,Fighting,0.45
Karaoke Revolution,XB,2003,Shooter,0.45
Discovery Kids: Kitten Corner,Wii,2007,Strategy,0.45
Just Dance 2014,2600,1981,Simulation,0.45
Yu-Gi-Oh! Capsule Monster Coliseum,PS3,2010,Action,0.45
Payday 2,X360,2011,Shooter,0.45
Major League Baseball 2K6,DS,2007,Misc,0.45
Jampack Volume 13 (RP-M),PS4,2016,Shooter,0.45
World Soccer Winning Eleven 9,Wii,2009,Misc,0.45
NBA Live 2000,PS3,2015,Sports,0.45
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS,1998,Action,0.45
"SpongeBob SquarePants: Lights, Camera, Pants!",DS,2009,Action,0.45
Disney Infinity 3.0,Wii,2009,Sports,0.45
TouchMaster 3,Game BoyA,2004,Misc,0.45
The Thing,PS3,2009,Misc,0.45
Disney Infinity 3.0,PSV,2013,Role-Playing,0.45
Van Helsing,Wii,2009,Action,0.45
X-Men Legends II: Rise of Apocalypse,PS2,2001,Sports,0.45
Food Network: Cook or Be Cooked,PS4,2015,Action,0.45
Transformers: Fall of Cybertron,PS2,2003,Action,0.45
Metro: Last Light,SNES,1993,Fighting,0.45
The Urbz: Sims in the City (all regions sales),N64,1998,Action,0.45
Spawn: Armageddon,N64,2000,Puzzle,0.45
Plants vs. Zombies: Garden Warfare 2,PS3,2008,Role-Playing,0.45
World Stadium EX,Wii,2009,Simulation,0.45
Tiger Woods PGA Tour 2003,3DS,2014,Sports,0.45
Battlefield 2: Modern Combat,Wii,2007,Simulation,0.45
G-Force,DS,2007,Action,0.45
Ben 10 Alien Force: Vilgax Attacks,Game BoyA,2001,Fighting,0.45
50 Cent: Bulletproof,PS2,2006,Role-Playing,0.45
Densetsu no Stafi 2,PS,1995,Role-Playing,0.45
Independence Day,DS,2009,Misc,0.45
Need for Speed: Shift 2 Unleashed,X360,2012,Fighting,0.45
Chocobo Racing,Game BoyA,2004,Racing,0.45
Ninja Gaiden 3,X360,2008,Action,0.45
Child of Eden,2600,N/A,Action,0.45
LEGO Star Wars II: The Original Trilogy,PS,1995,Action,0.45
Family Fest Presents Circus Games,X360,N/A,Action,0.45
My Spanish Coach,PS2,2009,Misc,0.45
The Darkness,PSP,2010,Shooter,0.45
Gundam SEED: Federation vs. Z.A.F.T.,PS,1999,Role-Playing,0.45
Ms. Pac-Man Maze Madness,PS2,2008,Misc,0.45
Blood Omen: Legacy of Kain,X360,2009,Sports,0.45
Super Bomberman 4,PS2,2004,Action,0.45
Bomberman II,PS3,2007,Sports,0.45
Duke Nukem 64,PS,1994,Sports,0.45
Sin and Punishment: Star Successor,XB,2005,Fighting,0.45
Jump Start Pet Rescue,X360,2010,Sports,0.45
Naughty Bear,PSP,2007,Strategy,0.45
"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2004,Sports,0.45
Super Robot Taisen OG: Original Generations,2600,1987,Shooter,0.45
Army Men World War: Final Front,GC,2004,Fighting,0.45
Petz: Horsez 2,DS,2005,Action,0.45
Puppy Luv: Spa and Resort,XB,2003,Racing,0.45
Yu-Gi-Oh! 5D's Tag Force 4,PS,2000,Racing,0.45
MX Unleashed,PS2,2002,Racing,0.45
Jikkyou Powerful Pro Yakyuu 9,PS,1996,Role-Playing,0.45
Grind Session,WiiU,2015,Sports,0.45
Naruto: Gekito Ninja Taisen! 3,Wii,2008,Sports,0.45
Barbie: Groom and Glam Pups,2600,1981,Action,0.45
Wario World,PS2,2004,Action,0.45
Scooby-Doo! Mystery Mayhem,Game BoyA,2004,Sports,0.45
Super Breakout,PSP,2008,Platform,0.45
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,Wii,2009,Misc,0.45
Deer Drive,DS,2009,Simulation,0.45
Robert Ludlum's The Bourne Conspiracy,XOne,2013,Misc,0.45
Just Dance 4,PS2,2004,Misc,0.44
TimeSplitters 2,PS3,2013,Shooter,0.44
Battlebots: Design & Destroy,PS2,2006,Sports,0.44
Eternal Darkness: Sanity's Requiem,PS2,2005,Misc,0.44
Power Rangers: S.P.D.,XB,2005,Sports,0.44
Naruto: Ultimate Ninja 3,N64,1999,Sports,0.44
SingStar Motown,PS2,2004,Action,0.44
Nicktoons: Attack of the Toybots,PS2,2005,Misc,0.44
Mobile Suit Gundam: One Year War,X360,2015,Action,0.44
Tongari Boushi to Mahou no Otana,DS,2009,Puzzle,0.44
NFL Blitz 20-03,PS2,2002,Adventure,0.44
Just Dance: Summer Party,WiiU,2015,Action,0.44
SpongeBob's Atlantis SquarePantis,PS2,2004,Action,0.44
Dragon Ball Z: Shin Budokai - Another Road,XB,2005,Role-Playing,0.44
Master of Illusion,Wii,2009,Misc,0.44
Star Wars: Jedi Starfighter,X360,2012,Action,0.44
Remington Great American Bird Hunt,PS3,2013,Action,0.44
Classic NES Series: Metroid,DS,2004,Simulation,0.44
Alpha Protocol,PS2,2003,Action,0.44
Tetris Axis,XB,2006,Action,0.44
Dora the Explorer: Dora Puppy,X360,2013,Action,0.44
Primal,XOne,2016,Shooter,0.44
Madden NFL 2002,PS,1996,Sports,0.44
Need for Speed Underground 2,XB,2002,Sports,0.44
007: Quantum of Solace,PS2,2005,Shooter,0.44
Spec Ops: Covert Assault,Wii,2009,Action,0.44
SSX Tricky,Wii,2009,Action,0.44
Flight Control Rocket,XB,2005,Action,0.44
FIFA 14,Game BoyA,2003,Platform,0.44
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS,1997,Shooter,0.44
Trials Fusion,X360,2011,Racing,0.44
Wheel of Fortune,PS,1999,Racing,0.44
NiGHTS into dreams...,PS3,2012,Action,0.44
NCAA Football 2004,X360,2011,Shooter,0.44
Overwatch,XB,2006,Action,0.44
Rock Band 4,Wii,2008,Misc,0.44
NBA Jam,DS,2007,Misc,0.44
Bionicle,X360,2007,Shooter,0.44
Minecraft,PS2,2005,Shooter,0.44
MLB 2002,PS,2000,Puzzle,0.44
Sleeping Dogs,PS,1996,Role-Playing,0.44
TimeSplitters,SNES,1996,Puzzle,0.44
Barnstorming,NES,1991,Puzzle,0.44
InuYasha: The Secret of the Cursed Mask,N64,1997,Shooter,0.44
Rune Factory 3: A Fantasy Harvest Moon,Wii,2009,Shooter,0.44
The Powerpuff Girls: Him and Seek,Wii,2009,Misc,0.44
Mega Man Zero 2,PS3,2010,Action,0.44
Wonder Project J: Kikai no Shonen Pino,GC,2005,Misc,0.44
2010 FIFA World Cup South Africa,PS2,2007,Strategy,0.44
Atelier Totori: The Adventurer of Arland,PS,2001,Action,0.44
Spec Ops: The Line,DS,2007,Simulation,0.44
The Fairly Odd Parents: Game Boy Advance Video Volume 1,DS,2007,Simulation,0.44
Ghostbusters: The Video Game,PSP,2009,Strategy,0.44
Hunter: The Reckoning  Wayward,XB,2004,Racing,0.44
How to Train Your Dragon,PS2,2002,Sports,0.44
Command & Conquer 3: Tiberium Wars,PS,2000,Sports,0.44
WipEout 64,GC,2004,Fighting,0.44
Mischief Makers,DS,2010,Action,0.44
Max Payne 3,GC,2003,Platform,0.44
Petz Bunnyz,Game BoyA,2003,Action,0.44
Castlevania: Portrait of Ruin,2600,N/A,Puzzle,0.44
NHL Slapshot,PS2,2003,Misc,0.44
EyeToy: AntiGrav,DS,2010,Sports,0.44
FIFA 14,X360,N/A,Action,0.44
EverQuest Online Adventures,PS3,2012,Misc,0.44
Cool Boarders,GC,2002,Shooter,0.44
"999: Nine Hours, Nine Persons, Nine Doors",Game BoyA,2003,Action,0.44
Mobile Suit Gundam: Zeonic Front,X360,2012,Action,0.44
Zone of the Enders HD Collection,GC,2002,Adventure,0.44
Def Jam Icon,Game BoyA,2004,Action,0.44
Tales of the World: Radiant Mythology,PS2,2005,Fighting,0.44
Monopoly,PS2,2009,Misc,0.44
Dawn of Mana,SAT,1996,Adventure,0.44
Microsoft Flight Simulator X,Wii,2007,Platform,0.44
Lego Batman 3: Beyond Gotham,PS2,2005,Action,0.44
Madden NFL 2003,DS,2010,Simulation,0.44
NASCAR Kart Racing,PS2,2002,Sports,0.44
Disney Sing It,Wii,2011,Misc,0.44
Backyard Baseball,PS2,2007,Action,0.44
Call of Duty: Black Ops II,PSP,2007,Fighting,0.44
TRON: Evolution,DS,2006,Puzzle,0.44
Midway Arcade Treasures,XB,2002,Simulation,0.44
Call of Duty: Modern Warfare: Mobilized,Wii,2009,Sports,0.44
Petz: Horsez 2,Game BoyA,2004,Adventure,0.43
The Smurfs,PS3,2010,Role-Playing,0.43
Bakugan: Battle Brawlers,3DS,2011,Puzzle,0.43
NHL FaceOff 99,DS,2009,Misc,0.43
Skylanders: Trap Team,PS2,2003,Action,0.43
SEGA Classics Collection,N64,2001,Sports,0.43
Pirates of the Caribbean: At World's End,Game BoyA,2004,Racing,0.43
Juiced: Eliminator,PS2,2008,Action,0.43
Naruto: Ninja Council 3,PS,2001,Shooter,0.43
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,XB,2001,Sports,0.43
NBA Street,Game BoyA,2005,Simulation,0.43
Ben 10 Alien Force: Vilgax Attacks,PC,2013,Sports,0.43
Ben 10 Alien Force: Vilgax Attacks,PS2,2005,Action,0.43
Valkyrie Profile: Covenant of the Plume,PS4,2014,Racing,0.43
The Legend of Spyro: The Eternal Night,DS,2010,Misc,0.43
Mega Man Battle Network,SAT,1996,Platform,0.43
LEGO Rock Band,XB,2003,Sports,0.43
25 to Life,PC,2016,Shooter,0.43
NHL 2K6,XOne,2015,Misc,0.43
Medal of Honor: Rising Sun,Wii,2010,Sports,0.43
The Sims,PS2,2003,Action,0.43
Guitar Hero: Smash Hits,WiiU,2016,Misc,0.43
Dog's Life,PS,2001,Sports,0.43
The X Files,PS4,2014,Action,0.43
Super Wagyan Land,PS2,2000,Shooter,0.43
Rascal,2600,1981,Action,0.43
Hometown Story,PS2,2004,Role-Playing,0.43
Tony Hawk's American Wasteland,DS,2009,Role-Playing,0.43
Top Spin 4,Game BoyA,2002,Platform,0.43
Famicom Mini: Super Mario Bros. 2,Game BoyA,2003,Platform,0.43
Crash: Mind Over Mutant,SNES,1994,Simulation,0.43
Medal of Honor Heroes 2,Wii,2010,Sports,0.43
Yu-Gi-Oh! GX: Tag Force 2,PS3,2010,Role-Playing,0.43
Colony Wars,X360,2012,Shooter,0.43
All-Star Baseball 2004,Game BoyA,2004,Misc,0.43
Big Strike Bowling,PS2,2009,Action,0.43
Ragnarok Odyssey,PS2,2003,Action,0.43
Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,0.43
Horsez,X360,2007,Strategy,0.43
SpongeBob's Truth or Square (US sales),N64,1998,Racing,0.43
NASCAR Thunder 2002,N64,1997,Platform,0.43
Grandia,PC,2012,Shooter,0.43
ESPN NHL 2K5,DS,2008,Simulation,0.43
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,DS,2006,Platform,0.43
Hot Wheels World Race,Wii,N/A,Sports,0.43
Avatar: The Last Airbender - The Burning Earth,PS2,2004,Sports,0.43
Superman: Shadow of Apokolips,Wii,2013,Sports,0.43
NiGHTS: Journey of Dreams,PS2,2003,Role-Playing,0.43
American Chopper,PS,1996,Sports,0.43
Vanquish,DS,2009,Adventure,0.43
Star Wars Trilogy: Apprentice of the Force,PS2,2001,Simulation,0.43
Marvel Super Hero Squad,PS3,2012,Simulation,0.43
Lemony Snicket's A Series of Unfortunate Events,PS3,2007,Action,0.43
JGTC: All-Japan Grand Touring Car Championship,PSP,2006,Role-Playing,0.43
NBA Live 06,PS2,2008,Misc,0.43
Arc the Lad III,PS2,2006,Role-Playing,0.43
Solitaire Overload,PC,2006,Simulation,0.43
Mobile Suit Gundam: Gundam vs. Gundam,XOne,2014,Action,0.43
Test Drive,GC,2002,Sports,0.43
Jikkyou Powerful Pro Yakyuu 11,Wii,2009,Racing,0.43
Ghost Trick: Phantom Detective,X360,2008,Misc,0.43
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Game BoyA,2002,Sports,0.43
Rush 2: Extreme Racing USA,WiiU,2012,Shooter,0.43
NFL Blitz 2001,PS3,2010,Action,0.43
Dr. Mario 64,XB,2003,Misc,0.43
Jikkyou Powerful Pro Yakyuu 6,DS,2009,Shooter,0.43
Army Men: Sarge's Heroes 2,Wii,2007,Simulation,0.43
James Bond 007: Everything or Nothing,DS,2011,Action,0.43
Green Day: Rock Band,PS2,2009,Action,0.43
Wolfenstein: The Old Blood,PS,1997,Sports,0.43
MLB 08: The Show,PS4,2014,Action,0.43
Disney Infinity 2.0: Marvel Super Heroes,PS2,2005,Misc,0.43
Dance Dance Revolution Ultramix 2,PSP,2007,Action,0.43
Mega Man Anniversary Collection,PSP,2006,Racing,0.43
Super Famista 4,DS,2006,Action,0.42
The Fairly Odd Parents: Game Boy Advance Video Volume 2,SAT,1997,Role-Playing,0.42
Cabela's Legendary Adventures,PSP,2011,Strategy,0.42
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,GC,2002,Sports,0.42
Harry Potter and the Goblet of Fire,DS,2009,Action,0.42
JumpStart: Escape from Adventure Island,PSP,2009,Action,0.42
Thrillville: Off the Rails,DS,2008,Role-Playing,0.42
Style Lab: Makeover,PS2,2007,Platform,0.42
Condemned: Criminal Origins,Game BoyA,2001,Role-Playing,0.42
Mega Man X6,PS3,2009,Misc,0.42
Monster Jam: Urban Assault,PS2,2006,Shooter,0.42
BloodRayne,PS2,2005,Sports,0.42
Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2003,Shooter,0.42
Castlevania: Curse of Darkness,XB,2003,Simulation,0.42
Tom Clancy's HAWX 2,X360,2009,Misc,0.42
Harvest Moon: Grand Bazaar,PS2,2003,Adventure,0.42
International Superstar Soccer Pro '98,PS,1999,Adventure,0.42
Jimmy Neutron: Boy Genius,SNES,1991,Action,0.42
Black,PS,1998,Action,0.42
Zack & Wiki: Quest for Barbaros' Treasure,3DS,2013,Role-Playing,0.42
Double Pack: Finding Nemo / The Incredibles,GC,2005,Sports,0.42
Star Wars The Clone Wars: Republic Heroes,X360,2011,Sports,0.42
NBA 2K11,Game BoyA,2004,Platform,0.42
Animal Crossing: Amiibo Festival,DS,2008,Platform,0.42
Hyrule Warriors,Wii,2007,Shooter,0.42
Harry Potter and the Deathly Hallows - Part 1,PSP,2007,Strategy,0.42
Fishing Resort,PS,1997,Simulation,0.42
WWE All Stars,PS2,2003,Sports,0.42
Lord of the Rings: The Third Age,PS,2003,Sports,0.42
Football Manager Handheld 2011,PSV,2012,Role-Playing,0.42
Pirates of the Caribbean: At World's End,DS,2010,Action,0.42
Mega Man Legends 2,DS,2006,Simulation,0.42
X-Men vs. Street Fighter,DS,2009,Action,0.42
High Rollers Casino,PS,2001,Racing,0.42
Castlevania: The Dracula X Chronicles,SAT,1997,Role-Playing,0.42
The Suffering,XB,2004,Sports,0.42
Cyber Troopers Virtual-On,Game BoyA,2005,Misc,0.42
Katamari Forever,PS2,2003,Racing,0.42
Star Wars Starfighter: Special Edition,PS2,2007,Action,0.42
TimeShift,PS2,2002,Action,0.42
NBA Jam,Wii,2007,Platform,0.42
Zone of the Enders: The 2nd Runner,PS2,2004,Racing,0.42
Ghostbusters: The Video Game,X360,2010,Shooter,0.42
Attack on Titan: Humanity in Chains,Game BoyA,2004,Action,0.42
Jampack Spring 2004 (RP-T),DS,2009,Fighting,0.42
Dexter's Laboratory Deesaster Strikes,Game BoyA,2004,Platform,0.42
NFL GameDay 2004,PS,1998,Racing,0.42
Scooby-Doo and the Cyber Chase,PSP,2005,Sports,0.42
Danganronpa: Trigger Happy Havoc,PS,1999,Role-Playing,0.42
TERA,DS,2007,Misc,0.42
Tomb Raider: The Last Revelation,PSP,2008,Fighting,0.42
pro evolution soccer 2011,XB,2002,Racing,0.42
Sega Rally Championship 2,PS2,2004,Sports,0.42
Quake II,DS,2010,Adventure,0.42
Crash of the Titans,PS2,2003,Action,0.42
BioShock,N64,1998,Racing,0.42
Cars: Mater-National Championship,N64,2000,Sports,0.42
MLB 10: The Show,N64,2001,Puzzle,0.42
Wheel of Fortune: 2nd Edition,N64,1999,Sports,0.42
Tom Clancy's Rainbow Six: Lockdown,N64,2000,Shooter,0.42
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,GC,2004,Shooter,0.42
Cool Boarders 2001,PS3,2010,Misc,0.42
Grudge Warriors,PS4,2015,Action,0.42
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS2,2008,Sports,0.42
Destiny: The Taken King,XOne,2014,Action,0.42
Mobile Suit Gundam,XB,2004,Simulation,0.42
Mass Effect Trilogy,GC,2004,Platform,0.42
